"time_key","date","hour","day","week","month","quarter","year"
"T00092","2021-11-11","19","11","2nd Week","11","Q4","2021"
"T00093","2014-06-30","11","30","4th Week","6","Q2","2014"
"T00094","2018-05-02","10","2","1st Week","5","Q2","2018"
"T00095","2017-04-30","11","30","4th Week","4","Q2","2017"
"T00096","2019-04-15","20","15","3rd Week","4","Q2","2019"
"T00097","2014-10-22","4","22","4th Week","10","Q4","2014"
"T00098","2018-07-15","9","15","3rd Week","7","Q3","2018"
"T00099","2020-10-28","8","28","4th Week","10","Q4","2020"
"T00100","2020-01-04","9","4","1st Week","1","Q1","2020"
"T00101","2019-09-08","23","8","2nd Week","9","Q3","2019"
"T00102","2021-02-13","0","13","2nd Week","2","Q1","2021"
"T00103","2020-05-21","4","21","3rd Week","5","Q2","2020"
"T00104","2014-05-26","3","26","4th Week","5","Q2","2014"
"T00105","2015-03-02","9","2","1st Week","3","Q1","2015"
"T00106","2017-12-15","9","15","3rd Week","12","Q4","2017"
"T00107","2014-01-26","22","26","4th Week","1","Q1","2014"
"T00108","2019-10-01","14","1","1st Week","10","Q4","2019"
"T00109","2021-01-01","14","1","1st Week","1","Q1","2021"
"T00110","2019-08-05","16","5","1st Week","8","Q3","2019"
"T00111","2019-06-07","10","7","1st Week","6","Q2","2019"
"T00112","2015-03-05","2","5","1st Week","3","Q1","2015"
"T00113","2015-10-30","22","30","4th Week","10","Q4","2015"
"T00114","2019-02-14","23","14","2nd Week","2","Q1","2019"
"T00115","2015-10-05","6","5","1st Week","10","Q4","2015"
"T00116","2020-07-18","10","18","3rd Week","7","Q3","2020"
"T00117","2016-02-17","6","17","3rd Week","2","Q1","2016"
"T00118","2016-11-12","0","12","2nd Week","11","Q4","2016"
"T00119","2017-11-06","11","6","1st Week","11","Q4","2017"
"T00120","2019-08-28","20","28","4th Week","8","Q3","2019"
"T00121","2022-10-17","22","17","3rd Week","10","Q4","2022"
"T00122","2017-06-17","6","17","3rd Week","6","Q2","2017"
"T00123","2017-02-09","15","9","2nd Week","2","Q1","2017"
"T00124","2015-09-03","1","3","1st Week","9","Q3","2015"
"T00125","2019-05-07","12","7","1st Week","5","Q2","2019"
"T00126","2019-05-24","16","24","4th Week","5","Q2","2019"
"T00127","2017-07-05","1","5","1st Week","7","Q3","2017"
"T00128","2014-02-20","5","20","3rd Week","2","Q1","2014"
"T00129","2018-03-09","19","9","2nd Week","3","Q1","2018"
"T00130","2021-04-26","5","26","4th Week","4","Q2","2021"
"T00131","2022-03-15","20","15","3rd Week","3","Q1","2022"
"T00132","2021-03-05","23","5","1st Week","3","Q1","2021"
"T00133","2020-07-25","0","25","4th Week","7","Q3","2020"
"T00134","2021-08-08","3","8","2nd Week","8","Q3","2021"
"T00135","2018-12-13","0","13","2nd Week","12","Q4","2018"
"T00136","2022-01-03","19","3","1st Week","1","Q1","2022"
"T00137","2015-12-15","13","15","3rd Week","12","Q4","2015"
"T00138","2022-03-26","14","26","4th Week","3","Q1","2022"
"T00139","2022-01-10","18","10","2nd Week","1","Q1","2022"
"T00140","2021-10-21","8","21","3rd Week","10","Q4","2021"
"T00141","2014-06-28","13","28","4th Week","6","Q2","2014"
"T00142","2022-05-17","15","17","3rd Week","5","Q2","2022"
"T00143","2020-10-27","0","27","4th Week","10","Q4","2020"
"T00144","2017-06-13","1","13","2nd Week","6","Q2","2017"
"T00145","2016-06-10","3","10","2nd Week","6","Q2","2016"
"T00146","2017-04-24","13","24","4th Week","4","Q2","2017"
"T00147","2017-11-06","13","6","1st Week","11","Q4","2017"
"T00148","2022-08-18","4","18","3rd Week","8","Q3","2022"
"T00149","2016-05-18","18","18","3rd Week","5","Q2","2016"
"T00150","2018-10-19","9","19","3rd Week","10","Q4","2018"
"T00151","2015-01-20","5","20","3rd Week","1","Q1","2015"
"T00152","2019-06-30","21","30","4th Week","6","Q2","2019"
"T00153","2018-12-08","12","8","2nd Week","12","Q4","2018"
"T00154","2019-09-01","9","1","1st Week","9","Q3","2019"
"T00155","2016-02-01","19","1","1st Week","2","Q1","2016"
"T00156","2021-07-31","19","31","4th Week","7","Q3","2021"
"T00157","2021-07-25","15","25","4th Week","7","Q3","2021"
"T00158","2015-03-17","18","17","3rd Week","3","Q1","2015"
"T00159","2016-10-11","12","11","2nd Week","10","Q4","2016"
"T00160","2018-07-13","12","13","2nd Week","7","Q3","2018"
"T00161","2020-07-23","16","23","4th Week","7","Q3","2020"
"T00162","2015-11-14","0","14","2nd Week","11","Q4","2015"
"T00163","2015-11-14","11","14","2nd Week","11","Q4","2015"
"T00164","2022-11-10","2","10","2nd Week","11","Q4","2022"
"T00165","2019-10-21","2","21","3rd Week","10","Q4","2019"
"T00166","2015-06-07","9","7","1st Week","6","Q2","2015"
"T00167","2015-01-14","7","14","2nd Week","1","Q1","2015"
"T00168","2018-11-12","12","12","2nd Week","11","Q4","2018"
"T00169","2016-02-21","10","21","3rd Week","2","Q1","2016"
"T00170","2022-05-06","15","6","1st Week","5","Q2","2022"
"T00171","2016-06-19","15","19","3rd Week","6","Q2","2016"
"T00172","2022-02-13","22","13","2nd Week","2","Q1","2022"
"T00173","2016-12-19","7","19","3rd Week","12","Q4","2016"
"T00174","2019-05-04","23","4","1st Week","5","Q2","2019"
"T00175","2016-11-05","2","5","1st Week","11","Q4","2016"
"T00176","2015-04-01","6","1","1st Week","4","Q2","2015"
"T00177","2015-10-19","3","19","3rd Week","10","Q4","2015"
"T00178","2015-12-22","15","22","4th Week","12","Q4","2015"
"T00179","2019-09-03","18","3","1st Week","9","Q3","2019"
"T00180","2019-02-01","21","1","1st Week","2","Q1","2019"
"T00181","2022-01-30","16","30","4th Week","1","Q1","2022"
"T00182","2018-10-04","13","4","1st Week","10","Q4","2018"
"T00183","2020-08-29","6","29","4th Week","8","Q3","2020"
"T00184","2015-09-23","22","23","4th Week","9","Q3","2015"
"T00185","2021-09-17","6","17","3rd Week","9","Q3","2021"
"T00186","2020-08-15","20","15","3rd Week","8","Q3","2020"
"T00187","2021-07-12","6","12","2nd Week","7","Q3","2021"
"T00188","2019-06-25","19","25","4th Week","6","Q2","2019"
"T00189","2017-04-10","7","10","2nd Week","4","Q2","2017"
"T00190","2016-04-19","13","19","3rd Week","4","Q2","2016"
"T00191","2022-10-10","1","10","2nd Week","10","Q4","2022"
"T00192","2014-10-07","18","7","1st Week","10","Q4","2014"
"T00193","2018-12-20","23","20","3rd Week","12","Q4","2018"
"T00194","2016-07-16","9","16","3rd Week","7","Q3","2016"
"T00195","2015-04-28","8","28","4th Week","4","Q2","2015"
"T00196","2018-07-24","10","24","4th Week","7","Q3","2018"
"T00197","2015-04-09","1","9","2nd Week","4","Q2","2015"
"T00198","2019-02-03","21","3","1st Week","2","Q1","2019"
"T00199","2019-12-26","1","26","4th Week","12","Q4","2019"
"T00200","2015-01-04","9","4","1st Week","1","Q1","2015"
"T00201","2014-02-17","11","17","3rd Week","2","Q1","2014"
"T00202","2014-07-23","14","23","4th Week","7","Q3","2014"
"T00203","2017-07-11","14","11","2nd Week","7","Q3","2017"
"T00204","2018-08-11","15","11","2nd Week","8","Q3","2018"
"T00205","2020-01-02","23","2","1st Week","1","Q1","2020"
"T00206","2020-04-21","15","21","3rd Week","4","Q2","2020"
"T00207","2022-10-28","7","28","4th Week","10","Q4","2022"
"T00208","2016-11-19","15","19","3rd Week","11","Q4","2016"
"T00209","2016-09-07","5","7","1st Week","9","Q3","2016"
"T00210","2016-03-13","15","13","2nd Week","3","Q1","2016"
"T00211","2017-05-24","11","24","4th Week","5","Q2","2017"
"T00212","2016-08-30","7","30","4th Week","8","Q3","2016"
"T00213","2015-01-23","2","23","4th Week","1","Q1","2015"
"T00214","2014-09-07","23","7","1st Week","9","Q3","2014"
"T00215","2019-01-29","4","29","4th Week","1","Q1","2019"
"T00216","2017-07-10","0","10","2nd Week","7","Q3","2017"
"T00217","2015-04-21","9","21","3rd Week","4","Q2","2015"
"T00218","2016-02-01","5","1","1st Week","2","Q1","2016"
"T00219","2017-10-12","1","12","2nd Week","10","Q4","2017"
"T00220","2020-09-12","15","12","2nd Week","9","Q3","2020"
"T00221","2017-10-21","15","21","3rd Week","10","Q4","2017"
"T00222","2018-11-20","10","20","3rd Week","11","Q4","2018"
"T00223","2015-10-16","17","16","3rd Week","10","Q4","2015"
"T00224","2021-10-27","14","27","4th Week","10","Q4","2021"
"T00225","2019-10-09","17","9","2nd Week","10","Q4","2019"
"T00226","2019-04-29","12","29","4th Week","4","Q2","2019"
"T00227","2014-11-30","16","30","4th Week","11","Q4","2014"
"T00228","2017-08-09","17","9","2nd Week","8","Q3","2017"
"T00229","2014-10-05","9","5","1st Week","10","Q4","2014"
"T00230","2018-07-08","10","8","2nd Week","7","Q3","2018"
"T00231","2022-07-06","6","6","1st Week","7","Q3","2022"
"T00232","2016-02-25","16","25","4th Week","2","Q1","2016"
"T00233","2018-11-15","16","15","3rd Week","11","Q4","2018"
"T00234","2020-03-23","8","23","4th Week","3","Q1","2020"
"T00235","2017-08-12","0","12","2nd Week","8","Q3","2017"
"T00236","2021-01-15","15","15","3rd Week","1","Q1","2021"
"T00237","2018-08-13","10","13","2nd Week","8","Q3","2018"
"T00238","2015-06-23","20","23","4th Week","6","Q2","2015"
"T00239","2022-03-26","22","26","4th Week","3","Q1","2022"
"T00240","2016-02-18","6","18","3rd Week","2","Q1","2016"
"T00241","2018-12-17","16","17","3rd Week","12","Q4","2018"
"T00242","2015-05-13","22","13","2nd Week","5","Q2","2015"
"T00243","2021-03-02","18","2","1st Week","3","Q1","2021"
"T00244","2017-02-12","10","12","2nd Week","2","Q1","2017"
"T00245","2020-07-01","15","1","1st Week","7","Q3","2020"
"T00246","2015-08-27","19","27","4th Week","8","Q3","2015"
"T00247","2015-09-02","9","2","1st Week","9","Q3","2015"
"T00248","2018-01-04","13","4","1st Week","1","Q1","2018"
"T00249","2021-06-09","12","9","2nd Week","6","Q2","2021"
"T00250","2016-12-30","22","30","4th Week","12","Q4","2016"
"T00251","2021-09-14","1","14","2nd Week","9","Q3","2021"
"T00252","2017-10-22","23","22","4th Week","10","Q4","2017"
"T00253","2017-07-18","23","18","3rd Week","7","Q3","2017"
"T00254","2017-10-10","13","10","2nd Week","10","Q4","2017"
"T00255","2020-07-24","1","24","4th Week","7","Q3","2020"
"T00256","2020-05-22","14","22","4th Week","5","Q2","2020"
"T00257","2015-11-19","17","19","3rd Week","11","Q4","2015"
"T00258","2021-01-19","3","19","3rd Week","1","Q1","2021"
"T00259","2018-11-09","21","9","2nd Week","11","Q4","2018"
"T00260","2020-04-12","13","12","2nd Week","4","Q2","2020"
"T00261","2021-05-18","8","18","3rd Week","5","Q2","2021"
"T00262","2018-06-08","1","8","2nd Week","6","Q2","2018"
"T00263","2015-12-17","16","17","3rd Week","12","Q4","2015"
"T00264","2019-09-01","14","1","1st Week","9","Q3","2019"
"T00265","2014-09-01","21","1","1st Week","9","Q3","2014"
"T00266","2016-03-12","12","12","2nd Week","3","Q1","2016"
"T00267","2021-12-02","23","2","1st Week","12","Q4","2021"
"T00268","2020-09-27","6","27","4th Week","9","Q3","2020"
"T00269","2014-07-11","0","11","2nd Week","7","Q3","2014"
"T00270","2016-09-13","23","13","2nd Week","9","Q3","2016"
"T00271","2014-02-19","9","19","3rd Week","2","Q1","2014"
"T00272","2016-02-02","16","2","1st Week","2","Q1","2016"
"T00273","2022-02-15","19","15","3rd Week","2","Q1","2022"
"T00274","2016-06-05","6","5","1st Week","6","Q2","2016"
"T00275","2018-03-10","21","10","2nd Week","3","Q1","2018"
"T00276","2016-04-27","11","27","4th Week","4","Q2","2016"
"T00277","2019-01-16","22","16","3rd Week","1","Q1","2019"
"T00278","2020-05-20","20","20","3rd Week","5","Q2","2020"
"T00279","2019-08-12","10","12","2nd Week","8","Q3","2019"
"T00280","2014-10-30","15","30","4th Week","10","Q4","2014"
"T00281","2021-05-08","11","8","2nd Week","5","Q2","2021"
"T00282","2018-05-01","16","1","1st Week","5","Q2","2018"
"T00283","2020-10-06","9","6","1st Week","10","Q4","2020"
"T00284","2021-01-04","15","4","1st Week","1","Q1","2021"
"T00285","2016-10-31","1","31","4th Week","10","Q4","2016"
"T00286","2018-06-10","6","10","2nd Week","6","Q2","2018"
"T00287","2015-03-03","1","3","1st Week","3","Q1","2015"
"T00288","2014-10-31","0","31","4th Week","10","Q4","2014"
"T00289","2015-01-26","4","26","4th Week","1","Q1","2015"
"T00290","2021-08-19","22","19","3rd Week","8","Q3","2021"
"T00291","2020-08-22","8","22","4th Week","8","Q3","2020"
"T00292","2020-04-03","13","3","1st Week","4","Q2","2020"
"T00293","2018-12-16","5","16","3rd Week","12","Q4","2018"
"T00294","2017-08-29","6","29","4th Week","8","Q3","2017"
"T00295","2022-04-04","0","4","1st Week","4","Q2","2022"
"T00296","2014-11-15","11","15","3rd Week","11","Q4","2014"
"T00297","2015-01-25","14","25","4th Week","1","Q1","2015"
"T00298","2015-01-27","8","27","4th Week","1","Q1","2015"
"T00299","2015-08-02","7","2","1st Week","8","Q3","2015"
"T00300","2017-02-26","7","26","4th Week","2","Q1","2017"
"T00301","2018-11-15","16","15","3rd Week","11","Q4","2018"
"T00302","2017-04-28","18","28","4th Week","4","Q2","2017"
"T00303","2022-10-09","22","9","2nd Week","10","Q4","2022"
"T00304","2020-10-24","14","24","4th Week","10","Q4","2020"
"T00305","2017-03-26","23","26","4th Week","3","Q1","2017"
"T00306","2015-07-30","9","30","4th Week","7","Q3","2015"
"T00307","2016-02-25","18","25","4th Week","2","Q1","2016"
"T00308","2020-04-25","10","25","4th Week","4","Q2","2020"
"T00309","2020-11-18","16","18","3rd Week","11","Q4","2020"
"T00310","2014-03-30","6","30","4th Week","3","Q1","2014"
"T00311","2019-12-27","19","27","4th Week","12","Q4","2019"
"T00312","2022-11-11","7","11","2nd Week","11","Q4","2022"
"T00313","2019-08-23","8","23","4th Week","8","Q3","2019"
"T00314","2016-12-25","4","25","4th Week","12","Q4","2016"
"T00315","2018-08-20","23","20","3rd Week","8","Q3","2018"
"T00316","2019-06-17","16","17","3rd Week","6","Q2","2019"
"T00317","2014-09-25","16","25","4th Week","9","Q3","2014"
"T00318","2020-06-15","15","15","3rd Week","6","Q2","2020"
"T00319","2015-07-14","20","14","2nd Week","7","Q3","2015"
"T00320","2016-12-11","22","11","2nd Week","12","Q4","2016"
"T00321","2016-03-09","11","9","2nd Week","3","Q1","2016"
"T00322","2022-10-09","18","9","2nd Week","10","Q4","2022"
"T00323","2022-05-19","22","19","3rd Week","5","Q2","2022"
"T00324","2020-07-06","23","6","1st Week","7","Q3","2020"
"T00325","2022-06-03","1","3","1st Week","6","Q2","2022"
"T00326","2016-10-29","15","29","4th Week","10","Q4","2016"
"T00327","2017-05-30","23","30","4th Week","5","Q2","2017"
"T00328","2015-10-26","9","26","4th Week","10","Q4","2015"
"T00329","2015-05-09","11","9","2nd Week","5","Q2","2015"
"T00330","2019-05-03","5","3","1st Week","5","Q2","2019"
"T00331","2018-09-18","14","18","3rd Week","9","Q3","2018"
"T00332","2016-07-08","8","8","2nd Week","7","Q3","2016"
"T00333","2021-11-22","10","22","4th Week","11","Q4","2021"
"T00334","2019-02-12","14","12","2nd Week","2","Q1","2019"
"T00335","2014-02-04","4","4","1st Week","2","Q1","2014"
"T00336","2014-09-09","12","9","2nd Week","9","Q3","2014"
"T00337","2018-05-25","7","25","4th Week","5","Q2","2018"
"T00338","2017-06-09","10","9","2nd Week","6","Q2","2017"
"T00339","2020-09-01","5","1","1st Week","9","Q3","2020"
"T00340","2020-01-17","11","17","3rd Week","1","Q1","2020"
"T00341","2017-08-29","23","29","4th Week","8","Q3","2017"
"T00342","2017-08-01","7","1","1st Week","8","Q3","2017"
"T00343","2014-06-09","14","9","2nd Week","6","Q2","2014"
"T00344","2014-08-03","2","3","1st Week","8","Q3","2014"
"T00345","2020-10-12","16","12","2nd Week","10","Q4","2020"
"T00346","2019-01-15","15","15","3rd Week","1","Q1","2019"
"T00347","2016-05-16","12","16","3rd Week","5","Q2","2016"
"T00348","2017-09-01","18","1","1st Week","9","Q3","2017"
"T00349","2016-07-24","2","24","4th Week","7","Q3","2016"
"T00350","2019-03-03","23","3","1st Week","3","Q1","2019"
"T00351","2016-12-07","2","7","1st Week","12","Q4","2016"
"T00352","2019-05-13","7","13","2nd Week","5","Q2","2019"
"T00353","2016-12-02","6","2","1st Week","12","Q4","2016"
"T00354","2015-02-16","16","16","3rd Week","2","Q1","2015"
"T00355","2016-05-11","13","11","2nd Week","5","Q2","2016"
"T00356","2022-02-26","22","26","4th Week","2","Q1","2022"
"T00357","2021-09-21","19","21","3rd Week","9","Q3","2021"
"T00358","2017-05-23","3","23","4th Week","5","Q2","2017"
"T00359","2017-09-01","9","1","1st Week","9","Q3","2017"
"T00360","2016-06-29","18","29","4th Week","6","Q2","2016"
"T00361","2017-08-02","0","2","1st Week","8","Q3","2017"
"T00362","2022-08-16","20","16","3rd Week","8","Q3","2022"
"T00363","2021-07-13","0","13","2nd Week","7","Q3","2021"
"T00364","2017-08-06","21","6","1st Week","8","Q3","2017"
"T00365","2017-12-07","21","7","1st Week","12","Q4","2017"
"T00366","2014-04-15","2","15","3rd Week","4","Q2","2014"
"T00367","2018-12-30","14","30","4th Week","12","Q4","2018"
"T00368","2017-01-16","16","16","3rd Week","1","Q1","2017"
"T00369","2020-08-20","20","20","3rd Week","8","Q3","2020"
"T00370","2017-12-28","9","28","4th Week","12","Q4","2017"
"T00371","2022-03-26","16","26","4th Week","3","Q1","2022"
"T00372","2017-02-10","3","10","2nd Week","2","Q1","2017"
"T00373","2014-07-07","16","7","1st Week","7","Q3","2014"
"T00374","2017-10-06","15","6","1st Week","10","Q4","2017"
"T00375","2014-03-30","16","30","4th Week","3","Q1","2014"
"T00376","2014-04-20","8","20","3rd Week","4","Q2","2014"
"T00377","2014-03-31","14","31","4th Week","3","Q1","2014"
"T00378","2021-10-01","4","1","1st Week","10","Q4","2021"
"T00379","2020-06-04","8","4","1st Week","6","Q2","2020"
"T00380","2018-10-01","8","1","1st Week","10","Q4","2018"
"T00381","2018-06-05","17","5","1st Week","6","Q2","2018"
"T00382","2022-10-06","4","6","1st Week","10","Q4","2022"
"T00383","2021-11-13","14","13","2nd Week","11","Q4","2021"
"T00384","2015-07-17","6","17","3rd Week","7","Q3","2015"
"T00385","2015-06-20","5","20","3rd Week","6","Q2","2015"
"T00386","2018-05-06","16","6","1st Week","5","Q2","2018"
"T00387","2020-02-07","5","7","1st Week","2","Q1","2020"
"T00388","2017-01-23","20","23","4th Week","1","Q1","2017"
"T00389","2022-02-15","13","15","3rd Week","2","Q1","2022"
"T00390","2020-12-12","2","12","2nd Week","12","Q4","2020"
"T00391","2014-03-21","16","21","3rd Week","3","Q1","2014"
"T00392","2019-05-02","3","2","1st Week","5","Q2","2019"
"T00393","2017-03-27","16","27","4th Week","3","Q1","2017"
"T00394","2018-09-02","6","2","1st Week","9","Q3","2018"
"T00395","2015-10-30","0","30","4th Week","10","Q4","2015"
"T00396","2015-06-25","8","25","4th Week","6","Q2","2015"
"T00397","2022-11-09","3","9","2nd Week","11","Q4","2022"
"T00398","2014-08-18","16","18","3rd Week","8","Q3","2014"
"T00399","2021-03-26","1","26","4th Week","3","Q1","2021"
"T00400","2020-01-03","0","3","1st Week","1","Q1","2020"
"T00401","2015-05-27","15","27","4th Week","5","Q2","2015"
"T00402","2017-12-30","4","30","4th Week","12","Q4","2017"
"T00403","2021-02-28","3","28","4th Week","2","Q1","2021"
"T00404","2019-03-16","20","16","3rd Week","3","Q1","2019"
"T00405","2018-05-22","21","22","4th Week","5","Q2","2018"
"T00406","2022-07-29","21","29","4th Week","7","Q3","2022"
"T00407","2019-02-26","16","26","4th Week","2","Q1","2019"
"T00408","2014-02-12","6","12","2nd Week","2","Q1","2014"
"T00409","2019-09-26","7","26","4th Week","9","Q3","2019"
"T00410","2014-02-20","8","20","3rd Week","2","Q1","2014"
"T00411","2014-08-31","11","31","4th Week","8","Q3","2014"
"T00412","2019-10-13","10","13","2nd Week","10","Q4","2019"
"T00413","2017-03-15","3","15","3rd Week","3","Q1","2017"
"T00414","2020-03-23","7","23","4th Week","3","Q1","2020"
"T00415","2022-08-18","22","18","3rd Week","8","Q3","2022"
"T00416","2017-07-05","13","5","1st Week","7","Q3","2017"
"T00417","2020-10-31","21","31","4th Week","10","Q4","2020"
"T00418","2016-08-13","18","13","2nd Week","8","Q3","2016"
"T00419","2020-07-13","10","13","2nd Week","7","Q3","2020"
"T00420","2015-12-20","1","20","3rd Week","12","Q4","2015"
"T00421","2014-08-06","22","6","1st Week","8","Q3","2014"
"T00422","2016-01-25","11","25","4th Week","1","Q1","2016"
"T00423","2016-03-11","11","11","2nd Week","3","Q1","2016"
"T00424","2018-10-15","0","15","3rd Week","10","Q4","2018"
"T00425","2021-09-01","18","1","1st Week","9","Q3","2021"
"T00426","2014-12-31","2","31","4th Week","12","Q4","2014"
"T00427","2017-10-22","19","22","4th Week","10","Q4","2017"
"T00428","2017-08-06","9","6","1st Week","8","Q3","2017"
"T00429","2019-06-25","11","25","4th Week","6","Q2","2019"
"T00430","2017-12-05","10","5","1st Week","12","Q4","2017"
"T00431","2021-03-31","1","31","4th Week","3","Q1","2021"
"T00432","2015-12-18","16","18","3rd Week","12","Q4","2015"
"T00433","2016-05-07","5","7","1st Week","5","Q2","2016"
"T00434","2015-04-28","0","28","4th Week","4","Q2","2015"
"T00435","2020-11-01","12","1","1st Week","11","Q4","2020"
"T00436","2021-03-08","9","8","2nd Week","3","Q1","2021"
"T00437","2014-02-03","7","3","1st Week","2","Q1","2014"
"T00438","2016-04-16","11","16","3rd Week","4","Q2","2016"
"T00439","2017-06-13","21","13","2nd Week","6","Q2","2017"
"T00440","2015-01-20","12","20","3rd Week","1","Q1","2015"
"T00441","2016-09-06","19","6","1st Week","9","Q3","2016"
"T00442","2014-11-06","12","6","1st Week","11","Q4","2014"
"T00443","2020-12-26","23","26","4th Week","12","Q4","2020"
