"item_key","payment_key","customer_key","time_key","store_key","quantity","unit","unit_price","total_price"
"I00032","P018","C001294","T07638","S0002","3","cans","16.0","48.0"
"I00107","P035","C000058","T04064","S0005","35","oz","20.0","700.0"
"I00198","P028","C001687","T01721","S0001","30","ct","12.0","360.0"
"I00106","P028","C000554","T07227","S0019","8","oz","17.0","136.0"
"I00108","P033","C001742","T09169","S0021","18","oz","15.0","270.0"
"I00040","P008","C000147","T08452","S0023","23","bottles","22.0","506.0"
"I00045","P008","C000960","T04159","S0004","9","cans","8.0","72.0"
"I00169","P009","C001592","T00780","S0005","4","ct","17.0","68.0"
"I00137","P006","C000834","T07097","S0022","874","ct","24.0","20976.0"
"I00088","P018","C000388","T08323","S0026","2","bottles","17.0","34.0"
"I00125","P008","C000151","T05231","S0005","523","ct","15.0","7845.0"
"I00097","P029","C000099","T08808","S0025","10","cartons","19.0","190.0"
"I00052","P007","C001052","T01375","S0014","15","cans","40.0","600.0"
"I00130","P007","C001665","T07476","S0013","141","ct","14.0","1974.0"
"I00259","P019","C000004","T06121","S0041","3","pack","26.0","78.0"
"I00018","P016","C000531","T06815","S0020","6","cans","6.75","40.5"
"I00029","P009","C001548","T00673","S0021","16","cans","11.5","184.0"
"I00010","P034","C000933","T09627","S0017","6","cans","6.75","40.5"
"I00117","P005","C001517","T04491","S0011","21","ct","46.0","966.0"
"I00175","P023","C001942","T05844","S0029","31","oz","19.0","589.0"
"I00094","P016","C000323","T02745","S0029","47","bottles","11.0","517.0"
"I00090","P039","C000492","T09901","S0037","3","bottles","9.0","27.0"
"I00145","P021","C000707","T03774","S0042","281","ct","17.0","4777.0"
"I00167","P004","C001935","T08322","S0022","18","ct","14.0","252.0"
"I00247","P027","C000995","T06694","S0041","124","oz","15.0","1860.0"
"I00172","P025","C000057","T03917","S0008","36","oz","19.0","684.0"
"I00145","P014","C000975","T01862","S0043","105","ct","17.0","1785.0"
"I00011","P018","C001489","T03124","S0032","11","cans","6.75","74.25"
"I00127","P012","C000522","T05738","S0016","374","pk","12.5","4675.0"
"I00124","P034","C001425","T03359","S0025","7","ct","15.0","105.0"
"I00016","P033","C001931","T02085","S0010","4","cans","16.25","65.0"
"I00016","P017","C001939","T06069","S0035","17","cans","16.25","276.25"
"I00184","P020","C001494","T01631","S0014","696","ct","12.0","8352.0"
"I00119","P017","C000009","T08748","S0005","83","ct","53.0","4399.0"
"I00253","P013","C001803","T05363","S0028","85","bags","21.0","1785.0"
"I00109","P008","C001353","T03177","S0006","15","oz","17.0","255.0"
"I00188","P006","C000419","T07235","S0017","6","ct","14.0","84.0"
"I00141","P007","C000508","T06085","S0021","160","ct","18.0","2880.0"
"I00168","P017","C000850","T02944","S0017","7","ct","18.0","126.0"
"I00123","P019","C000436","T02391","S0002","198","ct","45.0","8910.0"
"I00107","P008","C001149","T02334","S0039","25","oz","20.0","500.0"
"I00086","P030","C001405","T03851","S0006","14","cans","18.0","252.0"
"I00018","P026","C000221","T00991","S0018","1","cans","6.75","6.75"
"I00222","P007","C001108","T04361","S0010","1","ct","12.0","12.0"
"I00035","P001","C001048","T03707","S0004","5","cans","16.0","80.0"
"I00251","P005","C000492","T04164","S0044","85","oz","13.0","1105.0"
"I00014","P031","C001295","T09970","S0022","8","cans","6.75","54.0"
"I00195","P016","C000253","T07752","S0034","6","ct","12.5","75.0"
"I00128","P018","C000566","T05135","S0034","1014","pk","16.0","16224.0"
"I00134","P037","C000214","T00250","S0008","234","ct","16.0","3744.0"
"I00166","P002","C000546","T06730","S0032","19","bags","17.0","323.0"
"I00126","P027","C000074","T08973","S0015","304","ct","25.0","7600.0"
"I00147","P039","C000249","T05966","S0013","135","ct","15.0","2025.0"
"I00235","P011","C000204","T09237","S0029","6","ct","14.0","84.0"
"I00201","P017","C000594","T07626","S0012","12","bars","23.0","276.0"
"I00016","P022","C001611","T06506","S0004","8","cans","16.25","130.0"
"I00020","P024","C001845","T00691","S0032","7","cans","6.75","47.25"
"I00224","P019","C001745","T01022","S0038","25","oz","11.0","275.0"
"I00117","P026","C001781","T09786","S0020","49","ct","46.0","2254.0"
"I00007","P011","C000417","T00020","S0024","5","cans","6.75","33.75"
"I00111","P018","C001558","T06648","S0025","4","ct","16.0","64.0"
"I00086","P021","C000690","T07809","S0031","17","cans","18.0","306.0"
"I00067","P029","C000779","T03921","S0004","10","bottles","8.0","80.0"
"I00209","P001","C000497","T09561","S0003","21","ct","13.0","273.0"
"I00025","P032","C000973","T04706","S0024","10","cans","11.5","115.0"
"I00226","P009","C000241","T09749","S0012","1","lb","15.0","15.0"
"I00146","P035","C001816","T05348","S0033","218","ct","21.0","4578.0"
"I00218","P026","C000861","T09126","S0005","4","ct","6.0","24.0"
"I00009","P023","C001054","T04986","S0043","28","cans","16.25","455.0"
"I00145","P026","C001643","T05176","S0012","223","ct","17.0","3791.0"
"I00097","P038","C001971","T05068","S0001","2","cartons","19.0","38.0"
"I00199","P003","C000972","T09961","S0018","15","ct","15.0","225.0"
"I00239","P002","C001085","T00354","S0044","14","pk","14.0","196.0"
"I00028","P030","C001133","T02635","S0028","5","cans","6.75","33.75"
"I00052","P016","C000942","T04078","S0008","15","cans","40.0","600.0"
"I00005","P036","C000078","T09812","S0010","10","cans","6.75","67.5"
"I00003","P016","C001364","T07517","S0013","8","cans","6.75","54.0"
"I00039","P028","C001504","T06636","S0018","8","bottles","26.0","208.0"
"I00050","P015","C000345","T01456","S0011","9","cans","8.0","72.0"
"I00260","P030","C000707","T06396","S0002","1193","ct","15.0","17895.0"
"I00243","P007","C000838","T06266","S0016","43","oz","16.0","688.0"
"I00104","P025","C000642","T09908","S0036","4","ct","14.0","56.0"
"I00161","P034","C000021","T05824","S0033","10","Bags","17.0","170.0"
"I00251","P015","C001131","T09221","S0002","49","oz","13.0","637.0"
"I00174","P037","C001966","T03968","S0002","25","oz","18.0","450.0"
"I00012","P018","C000228","T08933","S0007","10","cans","16.25","162.5"
"I00243","P027","C000153","T09317","S0013","33","oz","16.0","528.0"
"I00144","P017","C001997","T07451","S0022","99","ct","20.0","1980.0"
"I00040","P017","C000906","T06523","S0030","20","bottles","22.0","440.0"
"I00087","P029","C000833","T07691","S0003","11","bottles","15.0","165.0"
"I00048","P036","C000912","T02437","S0006","8","cans","8.0","64.0"
"I00106","P001","C001752","T04602","S0034","35","oz","17.0","595.0"
"I00190","P022","C000102","T03297","S0044","3","ct","16.0","48.0"
"I00077","P022","C000669","T08785","S0028","7","cans","6.75","47.25"
"I00165","P005","C001317","T00797","S0009","14","bags","16.0","224.0"
"I00214","P015","C000889","T05926","S0019","31","oz","19.5","604.5"
"I00184","P007","C000175","T05368","S0011","736","ct","12.0","8832.0"
"I00116","P013","C000245","T00030","S0024","65","ct","48.0","3120.0"
"I00114","P014","C000448","T04743","S0026","14","ct","44.0","616.0"
"I00157","P036","C001630","T03940","S0029","13","bags","17.0","221.0"
"I00163","P037","C001236","T01608","S0037","17","bags","15.0","255.0"
"I00255","P006","C000992","T03502","S0024","2","pack","20.0","40.0"
"I00108","P004","C000863","T07095","S0037","16","oz","15.0","240.0"
"I00232","P003","C001285","T09277","S0014","17","ct","12.0","204.0"
"I00174","P023","C000182","T02845","S0037","12","oz","18.0","216.0"
"I00033","P022","C001670","T05886","S0002","22","cans","16.0","352.0"
"I00147","P034","C000612","T07810","S0007","409","ct","15.0","6135.0"
"I00103","P008","C000431","T06229","S0017","53","tubs","15.0","795.0"
"I00207","P014","C001855","T04704","S0011","33","ct","14.0","462.0"
"I00111","P032","C000693","T04504","S0030","6","ct","16.0","96.0"
"I00180","P010","C001503","T06147","S0011","123","ct","19.0","2337.0"
"I00053","P039","C001450","T02322","S0027","14","cans","40.0","560.0"
"I00077","P021","C000845","T03010","S0007","9","cans","6.75","60.75"
"I00038","P038","C000801","T05520","S0012","15","bottles","23.0","345.0"
"I00208","P006","C001980","T05762","S0016","2","ct","14.0","28.0"
"I00143","P009","C001009","T07617","S0026","183","ct","16.0","2928.0"
"I00100","P031","C001946","T07129","S0027","49","oz.","10.0","490.0"
"I00199","P029","C001633","T03167","S0038","8","ct","15.0","120.0"
"I00226","P022","C000553","T07679","S0023","4","lb","15.0","60.0"
"I00071","P012","C001909","T09286","S0043","21","bottles","17.5","367.5"
"I00033","P037","C000111","T07988","S0042","11","cans","16.0","176.0"
"I00200","P017","C001435","T09928","S0023","25","bars","20.0","500.0"
"I00080","P032","C000489","T06860","S0041","3","bottles","22.0","66.0"
"I00172","P026","C001631","T03006","S0034","24","oz","19.0","456.0"
"I00090","P019","C000819","T01496","S0025","8","bottles","9.0","72.0"
"I00148","P005","C000795","T01011","S0020","23","ct","15.0","345.0"
"I00086","P037","C000749","T04834","S0007","5","cans","18.0","90.0"
"I00104","P018","C001397","T06387","S0038","3","ct","14.0","42.0"
"I00128","P032","C000474","T01517","S0027","369","pk","16.0","5904.0"
"I00046","P003","C000087","T06199","S0041","3","cans","8.0","24.0"
"I00095","P006","C001784","T08823","S0027","1","botlltes","16.0","16.0"
"I00200","P007","C001614","T04790","S0019","15","bars","20.0","300.0"
"I00187","P019","C001168","T02067","S0044","11","ct","13.0","143.0"
"I00109","P006","C000402","T08819","S0025","12","oz","17.0","204.0"
"I00251","P019","C001515","T00121","S0019","6","oz","13.0","78.0"
"I00141","P004","C000094","T02568","S0009","33","ct","18.0","594.0"
"I00175","P038","C001016","T08500","S0027","49","oz","19.0","931.0"
"I00135","P025","C000351","T00216","S0001","59","ct","14.0","826.0"
"I00156","P008","C001126","T03750","S0031","19","bags","17.0","323.0"
"I00148","P037","C001720","T04065","S0004","436","ct","15.0","6540.0"
"I00185","P028","C001007","T02393","S0008","14","ct","14.0","196.0"
"I00137","P018","C000922","T05495","S0031","472","ct","24.0","11328.0"
"I00171","P023","C000433","T03546","S0037","64","ct","16.0","1024.0"
"I00023","P002","C001908","T01334","S0037","11","cans","6.75","74.25"
"I00193","P024","C001450","T00054","S0026","12","ct","18.0","216.0"
"I00234","P038","C000705","T01011","S0027","2","ct","13.0","26.0"
"I00176","P024","C000488","T05382","S0040","10","ct","19.0","190.0"
"I00242","P012","C001653","T03403","S0015","8","pk","12.0","96.0"
"I00240","P023","C000782","T07583","S0040","1","ct","14.0","14.0"
"I00239","P036","C001868","T02518","S0041","6","pk","14.0","84.0"
"I00262","P010","C001555","T01507","S0036","623","ct","14.0","8722.0"
"I00053","P029","C000864","T07543","S0012","4","cans","40.0","160.0"
"I00252","P018","C001688","T07325","S0023","1","ct","11.0","11.0"
"I00112","P030","C000485","T05211","S0021","28","ct","14.0","392.0"
"I00094","P023","C000175","T03259","S0026","30","bottles","11.0","330.0"
"I00073","P003","C000830","T00802","S0042","1","bottles","20.0","20.0"
"I00027","P034","C000433","T08101","S0001","21","cans","16.25","341.25"
"I00157","P014","C001065","T02948","S0008","22","bags","17.0","374.0"
"I00010","P033","C001231","T04723","S0009","3","cans","6.75","20.25"
"I00212","P020","C000468","T07058","S0034","7","ct","12.0","84.0"
"I00133","P002","C000347","T00273","S0002","84","ct","15.0","1260.0"
"I00104","P023","C000453","T01801","S0035","4","ct","14.0","56.0"
"I00022","P031","C001940","T06648","S0004","15","cans","16.25","243.75"
"I00135","P030","C001144","T01390","S0021","24","ct","14.0","336.0"
"I00165","P012","C001520","T09223","S0036","4","bags","16.0","64.0"
"I00229","P025","C000720","T05888","S0005","17","ct","13.0","221.0"
"I00216","P007","C000417","T07929","S0029","9","ct","16.5","148.5"
"I00108","P014","C001667","T04929","S0016","14","oz","15.0","210.0"
"I00174","P018","C001262","T06846","S0031","35","oz","18.0","630.0"
"I00246","P003","C001270","T01164","S0008","73","ct","20.0","1460.0"
"I00171","P003","C000457","T05100","S0004","209","ct","16.0","3344.0"
"I00197","P021","C001864","T08461","S0022","33","bars","15.0","495.0"
"I00164","P002","C001543","T01904","S0016","1","ct","16.0","16.0"
"I00191","P032","C000057","T05527","S0016","7","bars","24.0","168.0"
"I00219","P030","C001519","T05047","S0032","11","ct","22.0","242.0"
"I00221","P031","C001583","T07910","S0013","42","ct","14.0","588.0"
"I00168","P020","C000692","T03813","S0033","10","ct","18.0","180.0"
"I00109","P022","C000484","T00263","S0024","2","oz","17.0","34.0"
"I00253","P020","C000033","T04077","S0029","55","bags","21.0","1155.0"
"I00048","P003","C001158","T02082","S0026","2","cans","8.0","16.0"
"I00200","P034","C000704","T09466","S0029","26","bars","20.0","520.0"
"I00107","P009","C001418","T09900","S0028","35","oz","20.0","700.0"
"I00148","P021","C001433","T06258","S0035","235","ct","15.0","3525.0"
"I00059","P024","C000701","T08435","S0005","11","bottles","22.0","242.0"
"I00018","P027","C000036","T01612","S0008","9","cans","6.75","60.75"
"I00130","P015","C000294","T04703","S0007","124","ct","14.0","1736.0"
"I00207","P024","C000827","T02117","S0043","10","ct","14.0","140.0"
"I00113","P003","C001436","T00127","S0004","17","ct","42.0","714.0"
"I00202","P024","C000676","T04430","S0041","4","ct","12.0","48.0"
"I00165","P005","C000466","T02019","S0035","3","bags","16.0","48.0"
"I00132","P005","C001323","T08731","S0020","291","ct","14.0","4074.0"
"I00043","P026","C000671","T04610","S0019","14","bottles","24.0","336.0"
"I00104","P010","C001245","T05134","S0020","4","ct","14.0","56.0"
"I00245","P017","C000264","T00989","S0030","4","rolls","26.0","104.0"
"I00158","P003","C000536","T07928","S0020","32","NaN","17.0","544.0"
"I00099","P011","C001491","T07488","S0011","27","oz","6.0","162.0"
"I00137","P030","C001065","T08049","S0037","771","ct","24.0","18504.0"
"I00181","P015","C001450","T00998","S0021","19","ct","26.0","494.0"
"I00120","P028","C001334","T04394","S0028","6","ct","9.0","54.0"
"I00131","P001","C000796","T05125","S0019","38","ct","14.0","532.0"
"I00244","P023","C001966","T05222","S0030","95","oz","18.0","1710.0"
"I00231","P028","C001948","T01155","S0036","53","pk","16.0","848.0"
"I00086","P037","C001210","T05627","S0022","20","cans","18.0","360.0"
"I00250","P017","C000293","T06492","S0023","1","pack","19.5","19.5"
"I00156","P013","C001991","T06052","S0038","20","bags","17.0","340.0"
"I00073","P028","C001349","T05840","S0040","12","bottles","20.0","240.0"
"I00252","P024","C001325","T04005","S0036","3","ct","11.0","33.0"
"I00218","P015","C000391","T01432","S0033","4","ct","6.0","24.0"
"I00261","P003","C001644","T04593","S0008","18","ct","33.0","594.0"
"I00001","P006","C000760","T06068","S0022","13","cans","11.5","149.5"
"I00171","P015","C001939","T06706","S0039","217","ct","16.0","3472.0"
"I00075","P012","C000495","T08482","S0033","21","cans","15.5","325.5"
"I00106","P022","C000742","T08687","S0011","38","oz","17.0","646.0"
"I00114","P021","C001390","T04009","S0032","20","ct","44.0","880.0"
"I00065","P001","C000209","T07637","S0009","5","bottles","20.0","100.0"
"I00108","P037","C001860","T08743","S0030","19","oz","15.0","285.0"
"I00241","P028","C000311","T03972","S0021","599","ct","12.0","7188.0"
"I00251","P019","C001125","T01993","S0032","79","oz","13.0","1027.0"
"I00056","P004","C000395","T04735","S0033","11","bottles","24.0","264.0"
"I00180","P025","C000277","T07406","S0033","149","ct","19.0","2831.0"
"I00020","P012","C000716","T07440","S0023","8","cans","6.75","54.0"
"I00033","P009","C000599","T08841","S0044","23","cans","16.0","368.0"
"I00161","P017","C000252","T08422","S0010","28","Bags","17.0","476.0"
"I00096","P036","C001172","T01019","S0028","8","bottles","20.0","160.0"
"I00150","P034","C001397","T08887","S0043","16","bags","16.0","256.0"
"I00178","P020","C001321","T03824","S0015","29","ct","26.0","754.0"
"I00227","P001","C000945","T06190","S0035","1","pk","15.0","15.0"
"I00224","P035","C001082","T04971","S0043","37","oz","11.0","407.0"
"I00165","P020","C001221","T04324","S0038","24","bags","16.0","384.0"
"I00015","P009","C000878","T05309","S0031","4","cans","6.75","27.0"
"I00078","P036","C000499","T08912","S0008","13","bottles","17.0","221.0"
"I00223","P023","C000025","T07756","S0035","3","ct","13.5","40.5"
"I00107","P035","C001931","T03181","S0016","38","oz","20.0","760.0"
"I00137","P006","C000826","T03423","S0042","863","ct","24.0","20712.0"
"I00228","P008","C000250","T01743","S0042","26","pk","14.0","364.0"
"I00181","P013","C000086","T00377","S0015","23","ct","26.0","598.0"
"I00045","P002","C000007","T08936","S0015","11","cans","8.0","88.0"
"I00094","P014","C000206","T07848","S0018","46","bottles","11.0","506.0"
"I00060","P010","C000159","T00978","S0042","1","bottles","22.0","22.0"
"I00029","P011","C001969","T01715","S0003","16","cans","11.5","184.0"
"I00263","P022","C000706","T03784","S0043","19","ct","14.0","266.0"
"I00164","P010","C001378","T05188","S0023","4","ct","16.0","64.0"
"I00201","P037","C001325","T04241","S0024","11","bars","23.0","253.0"
"I00104","P034","C001665","T06803","S0044","5","ct","14.0","70.0"
"I00190","P012","C001008","T08792","S0004","5","ct","16.0","80.0"
"I00042","P019","C000797","T03885","S0044","23","bottles","28.0","644.0"
"I00158","P003","C000222","T04416","S0032","49","NaN","17.0","833.0"
"I00163","P028","C000878","T08486","S0019","11","bags","15.0","165.0"
"I00011","P022","C000279","T00833","S0024","7","cans","6.75","47.25"
"I00205","P034","C001010","T02284","S0035","25","ct","16.0","400.0"
"I00114","P023","C001471","T01433","S0007","69","ct","44.0","3036.0"
"I00007","P034","C001299","T04748","S0021","5","cans","6.75","33.75"
"I00158","P018","C001823","T02959","S0015","40","NaN","17.0","680.0"
"I00085","P018","C000686","T02544","S0029","6","bottles","18.0","108.0"
"I00248","P031","C001615","T03192","S0027","1","rolls","26.0","26.0"
"I00140","P014","C001253","T08484","S0025","384","ct","29.0","11136.0"
"I00016","P016","C001018","T00983","S0037","32","cans","16.25","520.0"
"I00202","P023","C000884","T04668","S0034","3","ct","12.0","36.0"
"I00012","P018","C001939","T05214","S0004","21","cans","16.25","341.25"
"I00162","P033","C001460","T05859","S0017","19","Bags","16.0","304.0"
"I00090","P016","C000105","T02750","S0003","5","bottles","9.0","45.0"
"I00183","P035","C000841","T09592","S0023","11","ct","35.0","385.0"
"I00141","P034","C000953","T02018","S0037","96","ct","18.0","1728.0"
"I00247","P001","C000340","T03759","S0023","17","oz","15.0","255.0"
"I00101","P032","C001362","T09821","S0028","83","tubs","15.0","1245.0"
"I00136","P013","C001282","T02110","S0036","70","ct","19.5","1365.0"
"I00229","P023","C001620","T02350","S0036","4","ct","13.0","52.0"
"I00257","P009","C001617","T07977","S0037","55","ct","21.0","1155.0"
"I00150","P030","C001363","T05801","S0025","8","bags","16.0","128.0"
"I00031","P035","C001060","T03393","S0015","10","cans","16.0","160.0"
"I00257","P029","C001656","T09719","S0031","30","ct","21.0","630.0"
"I00189","P010","C001546","T04284","S0011","23","ct","13.0","299.0"
"I00134","P008","C001785","T04175","S0038","250","ct","16.0","4000.0"
"I00100","P030","C000191","T06257","S0029","34","oz.","10.0","340.0"
"I00137","P026","C001156","T09668","S0019","235","ct","24.0","5640.0"
"I00037","P034","C000147","T07778","S0026","1","cans","16.0","16.0"
"I00227","P025","C000649","T00704","S0041","1","pk","15.0","15.0"
"I00258","P002","C001558","T05089","S0010","3","pk","21.0","63.0"
"I00152","P006","C000876","T06167","S0013","40","bags","15.0","600.0"
"I00013","P021","C001263","T02608","S0014","5","cans","6.75","33.75"
"I00143","P011","C001134","T04911","S0009","135","ct","16.0","2160.0"
"I00002","P025","C000163","T01560","S0029","3","cans","6.75","20.25"
"I00135","P017","C001924","T07842","S0038","20","ct","14.0","280.0"
"I00026","P002","C001125","T01338","S0039","9","cans","6.75","60.75"
"I00123","P038","C000161","T08717","S0029","110","ct","45.0","4950.0"
"I00002","P038","C000239","T01382","S0018","5","cans","6.75","33.75"
"I00123","P004","C000236","T06163","S0008","14","ct","45.0","630.0"
"I00024","P036","C001446","T05648","S0037","18","cans","16.25","292.5"
"I00192","P034","C000558","T01695","S0036","4","ct","24.0","96.0"
"I00074","P030","C000028","T09220","S0017","4","bottles","20.0","80.0"
"I00078","P024","C000951","T01161","S0020","6","bottles","17.0","102.0"
"I00119","P017","C000985","T07309","S0012","39","ct","53.0","2067.0"
"I00044","P033","C000654","T00032","S0033","7","cans","8.0","56.0"
"I00244","P001","C000813","T05109","S0018","38","oz","18.0","684.0"
"I00031","P005","C000811","T09963","S0012","15","cans","16.0","240.0"
"I00107","P009","C001693","T08548","S0031","20","oz","20.0","400.0"
"I00125","P006","C001412","T03608","S0041","1254","ct","15.0","18810.0"
"I00086","P019","C000363","T09964","S0027","22","cans","18.0","396.0"
"I00099","P024","C000761","T00183","S0007","20","oz","6.0","120.0"
"I00145","P001","C001220","T04138","S0034","104","ct","17.0","1768.0"
"I00158","P038","C001691","T00729","S0004","16","NaN","17.0","272.0"
"I00033","P024","C000582","T01588","S0005","15","cans","16.0","240.0"
"I00185","P036","C000644","T00227","S0030","17","ct","14.0","238.0"
"I00103","P019","C000701","T02240","S0033","122","tubs","15.0","1830.0"
"I00244","P005","C001336","T01106","S0010","77","oz","18.0","1386.0"
"I00081","P003","C000128","T04421","S0017","6","bottles","29.0","174.0"
"I00201","P012","C001071","T05786","S0026","17","bars","23.0","391.0"
"I00123","P002","C000217","T03175","S0019","9","ct","45.0","405.0"
"I00099","P027","C000680","T04661","S0003","13","oz","6.0","78.0"
"I00046","P022","C000345","T08355","S0006","6","cans","8.0","48.0"
"I00113","P022","C000329","T09137","S0003","63","ct","42.0","2646.0"
"I00157","P005","C001907","T06489","S0027","24","bags","17.0","408.0"
"I00163","P005","C001678","T08963","S0039","14","bags","15.0","210.0"
"I00037","P013","C001453","T09695","S0002","10","cans","16.0","160.0"
"I00093","P016","C001731","T06618","S0020","4","bottles","13.0","52.0"
"I00093","P012","C001320","T04914","S0030","19","bottles","13.0","247.0"
"I00027","P016","C000444","T08091","S0044","29","cans","16.25","471.25"
"I00141","P019","C001100","T08852","S0020","72","ct","18.0","1296.0"
"I00081","P001","C000759","T00097","S0027","9","bottles","29.0","261.0"
"I00178","P031","C001297","T07753","S0018","18","ct","26.0","468.0"
"I00075","P001","C001166","T01919","S0024","4","cans","15.5","62.0"
"I00014","P025","C001630","T03960","S0015","10","cans","6.75","67.5"
"I00036","P006","C000417","T04051","S0026","8","cans","16.0","128.0"
"I00121","P006","C000401","T02233","S0016","2431","ct","17.0","41327.0"
"I00075","P023","C001133","T04742","S0002","19","cans","15.5","294.5"
"I00026","P010","C000372","T06191","S0033","11","cans","6.75","74.25"
"I00089","P022","C000764","T00048","S0017","17","bottles","9.0","153.0"
"I00050","P036","C000641","T01778","S0021","7","cans","8.0","56.0"
"I00229","P001","C001487","T09514","S0013","16","ct","13.0","208.0"
"I00053","P025","C000783","T09675","S0003","10","cans","40.0","400.0"
"I00139","P016","C001781","T06342","S0016","360","ct","24.0","8640.0"
"I00011","P002","C001244","T00459","S0005","11","cans","6.75","74.25"
"I00026","P028","C000616","T08284","S0034","4","cans","6.75","27.0"
"I00185","P027","C001912","T00016","S0007","2","ct","14.0","28.0"
"I00086","P008","C001579","T08276","S0042","12","cans","18.0","216.0"
"I00180","P010","C001475","T07252","S0040","104","ct","19.0","1976.0"
"I00125","P037","C001303","T06596","S0012","136","ct","15.0","2040.0"
"I00034","P035","C000044","T07466","S0033","10","cans","16.0","160.0"
"I00170","P004","C000923","T04396","S0031","20","ct","15.0","300.0"
"I00002","P005","C001323","T07105","S0009","1","cans","6.75","6.75"
"I00168","P005","C001266","T04208","S0036","41","ct","18.0","738.0"
"I00071","P010","C000180","T03373","S0006","15","bottles","17.5","262.5"
"I00137","P033","C001336","T09154","S0010","372","ct","24.0","8928.0"
"I00248","P010","C001993","T09797","S0004","14","rolls","26.0","364.0"
"I00099","P006","C000572","T03643","S0009","18","oz","6.0","108.0"
"I00048","P001","C000937","T07998","S0037","9","cans","8.0","72.0"
"I00010","P028","C001456","T01015","S0005","8","cans","6.75","54.0"
"I00056","P029","C000788","T02564","S0013","7","bottles","24.0","168.0"
"I00250","P001","C001267","T08246","S0014","3","pack","19.5","58.5"
